Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Document Type,doi_norm,title_norm,venue_type_inferred,matched_venue_name,matched_by,venue_match_score,venue_classification,selection_status,selection_reason
,,,Proceedings of the 2024 6th International Conference on Telecommunications and Communication Engineering,2024,,,,,,,,,,Proceeding,,proceedings of the international conference on telecommunications and communication engineering,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2024 4th International Conference on Artificial Intelligence, Automation and High Performance Computing",2024,,,,,,,,,,Proceeding,,proceedings of the international conference on artificial intelligence automation and high performance computing,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2024 7th International Conference on Signal Processing and Machine Learning,2024,,,,,,,,,,Proceeding,,proceedings of the international conference on signal processing and machine learning,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2024 4th International Joint Conference on Robotics and Artificial Intelligence,2024,,,,,,,,,,Proceeding,,proceedings of the international joint conference on robotics and artificial intelligence,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 28th Pan-Hellenic Conference on Progress in Computing and Informatics,2024,,,,,,,,,,Proceeding,,proceedings of the pan hellenic conference on progress in computing and informatics,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2024 ACM Southeast Conference,2024,,,,,,,,,,Proceeding,,proceedings of the acm southeast conference,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the SC '24 Workshops of the International Conference on High Performance Computing, Network, Storage, and Analysis",2024,,,,,,,,,,Proceeding,,proceedings of the sc 24 workshops of the international conference on high performance computing network storage and analysis,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 16th Workshop on Rapid Simulation and Performance Evaluation for Design,2024,,,,,,,,,,Proceeding,,proceedings of the workshop on rapid simulation and performance evaluation for design,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 29th Asia and South Pacific Design Automation Conference,2024,,,,,,,,,,Proceeding,,proceedings of the asia and south pacific design automation conference,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2024 4th International Conference on Artificial Intelligence, Big Data and Algorithms",2024,,,,,,,,,,Proceeding,,proceedings of the international conference on artificial intelligence big data and algorithms,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2024 3rd International Conference on Cyber Security, Artificial Intelligence and Digital Economy",2024,,,,,,,,,,Proceeding,,proceedings of the international conference on cyber security artificial intelligence and digital economy,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2024 6th International Electronics Communication Conference,2024,,,,,,,,,,Proceeding,,proceedings of the international electronics communication conference,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2024 3rd International Conference on Networks, Communications and Information Technology",2024,,,,,,,,,,Proceeding,,proceedings of the international conference on networks communications and information technology,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2024 International Conference on Power Electronics and Artificial Intelligence,2024,,,,,,,,,,Proceeding,,proceedings of the international conference on power electronics and artificial intelligence,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2024 International Conference on Digital Society and Artificial Intelligence,2024,,,,,,,,,,Proceeding,,proceedings of the international conference on digital society and artificial intelligence,other,,,0,,other_document_type,not_conference_or_journal
